COD_NODE1,COD_PATH,pOriginPath,pDestinationPath,pDistanceOOP,pFirstStation,PathLength
A150,1,0,0,1.411,0,3069.759
B767,1,0,0,0.479000000000042,0,3069.759
7735,1,0,0,0.535000000000025,0,3069.759
B907,1,0,0,2.11100000000005,0,3069.759
2330,1,0,0,3.3630000000000604,0,3069.759
2328,1,0,0,0.02800000000002,0,3069.759
A520,1,0,0,0.20150000000001003,0,3069.759
7667,1,0,0,0.0,0,3069.759
OWN-7667,1,0,0,0.0,0,3069.759
7667-1,1,0,0,0.0,0,3069.759
OWN-7667-1,1,0,0,0.0,0,3069.759
F166,1,0,0,0.26050000000003604,0,3069.759
7726,1,0,0,0.06399999999999299,0,3069.759
8528,1,0,0,0.0569999999999879,0,3069.759
OWN-8528,1,0,0,0.0569999999999879,0,3069.759
7694,1,0,0,0.0380000000000109,0,3069.759
F629,1,0,0,0.01,0,3069.759
3289,1,0,0,0.01,0,3069.759
3058,1,0,0,0.0430000000000064,0,3069.759
F269,1,0,0,0.830000000000013,0,3069.759
X101,1,0,0,0.0115000000000123,0,3069.759
3061,1,0,0,0.0109999999999957,0,3069.759
F252,1,0,0,0.6395000000000269,0,3069.759
F305,1,0,0,0.22950000000000198,0,3069.759
G790,1,0,0,0.803500000000014,0,3069.759
F258,1,0,0,0.320000000000022,0,3069.759
F327,1,0,0,0.284500000000008,0,3069.759
7746,1,0,0,0.0345000000000084,0,3069.759
F349,1,0,0,0.01,0,3069.759
F255,1,0,0,2.10100000000003,0,3069.759
X158,1,0,0,0.9660000000000079,0,3069.759
X082,1,0,0,0.711000000000013,0,3069.759
F256,1,0,0,1.03450000000001,0,3069.759
F272,1,0,0,0.23199999999999898,0,3069.759
7010,1,0,0,0.0940000000000225,0,3069.759
7020,1,0,0,9.736000000000018,0,3069.759
F311,1,0,0,1.0959999999999999,0,3069.759
5846,1,0,0,1.9180000000000101,0,3069.759
F635,1,0,0,0.519000000000005,0,3069.759
G861,1,0,0,0.507500000000022,0,3069.759
G347,1,0,0,0.146500000000032,0,3069.759
G949,1,0,0,0.52200000000002,0,3069.759
H928,1,0,0,0.440500000000014,0,3069.759
3682,1,0,0,0.866000000000014,0,3069.759
F325,1,0,0,0.8825000000000219,0,3069.759
G350,1,0,0,0.351000000000028,0,3069.759
3253,1,0,0,0.330000000000013,0,3069.759
F322,1,0,0,0.7930000000000059,0,3069.759
G353,1,0,0,0.679000000000002,0,3069.759
3222,1,0,0,0.878000000000014,0,3069.759
F042,1,0,0,0.306000000000012,0,3069.759
F257,1,0,0,0.306000000000012,0,3069.759
3226,1,0,0,1.21600000000001,0,3069.759
F025,1,0,0,0.579000000000036,0,3069.759
5987,1,0,0,0.549000000000007,0,3069.759
3275,1,0,0,1.262,0,3069.759
F288,1,0,0,1.28050000000002,0,3069.759
F071,1,0,0,1.23850000000002,0,3069.759
98,1,0,0,0.604500000000002,0,3069.759
F321,1,0,0,0.551500000000004,0,3069.759
574,1,0,0,0.571500000000015,0,3069.759
559,1,0,0,0.499500000000012,0,3069.759
F506,1,0,0,0.337500000000034,0,3069.759
F309,1,0,0,0.8430000000000178,0,3069.759
82,1,0,0,0.645499999999998,0,3069.759
3754,1,0,0,0.41950000000002796,0,3069.759
F497,1,0,0,0.01,0,3069.759
3931,1,0,0,0.48349999999999205,0,3069.759
